time,U
2002.0699,23.83
2002.0726,23.33
2002.0753,27.03
2002.0781,19.33
2002.0808,11.93
2002.0836,14.83
2002.0863,13.23
2002.089,14.03
2002.0918,10.83
2002.0945,15.33
2002.0973,18.03
2002.1,11.53
2002.1027,19.23
2002.1055,24.63
2002.1082,26.33
2002.111,26.33
2002.1137,29.03
2002.1164,23.13
2002.1192,18.43
2002.1219,15.93
2002.1247,13.73
2002.1274,20.13
2002.1301,20.83
2002.1329,21.13
2002.1356,23.03
2002.1384,22.73
2002.1411,21.43
2002.1438,30.23
2002.1466,28.73
2002.1493,26.33
2002.1521,21.93
2002.1548,24.33
2002.1575,23.83
2002.1603,26.13
2002.163,20.63
2002.1658,19.23
2002.1685,18.93
2002.1712,20.63
2002.174,28.23
2002.1767,30.83
2002.1795,25.73
2002.1822,18.83
2002.1849,22.53
2002.1877,19.03
2002.1904,14.23
2002.1932,17.83
2002.1959,13.23
2002.1986,11.63
2002.2014,11.93
2002.2041,11.43
2002.2068,19.63
2002.2096,22.23
2002.2123,25.53
2002.2151,21.83
2002.2178,17.73
2002.2205,13.43
2002.2233,9.33
2002.226,18.43
2002.2288,22.93
2002.2315,23.73
2002.2342,26.93
2002.237,27.13
2002.2397,19.13
2002.2425,16.73
2002.2452,16.03
2002.2479,15.93
2002.2507,17.83
2002.2534,17.93
2002.2562,16.83
2002.2589,21.23
2002.2616,20.13
2002.2644,14.03
2002.2671,15.73
2002.2699,17.53
2002.2726,20.93
2002.2753,25.03
2002.2781,26.33
2002.2808,27.83
2002.2836,28.93
2002.2863,22.73
2002.289,23.43
2002.2918,23.13
2002.2945,23.13
2002.2973,23.93
2002.3,21.53
2002.3027,23.23
2002.3055,25.13
2002.3082,28.03
2002.311,26.93
2002.3137,29.83
2002.3164,34.43
2002.3192,33.63
2002.3219,28.33
2002.3247,27.53
2002.3274,28.93
2002.3301,27.53
2002.3329,27.53
2002.3356,27.83
2002.3384,29.63
2002.3411,28.23
2002.3438,23.73
2002.3466,24.43
2002.3493,28.03
2002.3521,28.13
2002.3548,26.43
2002.3575,29.43
2002.3603,34.63
2002.363,30.23
2002.3658,31.13
2002.3685,30.93
2002.3712,32.23
2002.374,28.23
2002.3767,29.23
2002.3795,24.03
2002.3822,26.63
2002.3849,29.23
