,Model Name,Train RMSE,Train MAE,Train MSE,Train R^2,Validation RMSE,Validation MAE,Validation MSE,Validation R^2,Test RMSE,Test MAE,Test MSE,Test R^2,Training Time (s),Learning Rate,Hidden Dim,Num Layers,Dropout,Window Size,Patience,Delta
Transformer_20250305_063948,Transformer,6.100667460461581,4.728050708770752,37.218143463134766,0.9824701547622681,6.365599339414253,5.136268615722656,40.52085494995117,0.9811968803405762,18.65921216800079,14.790301322937012,348.16619873046875,-0.26887989044189453,2763.4670779705048,0.001,32,2,0.2,20,250,0
Transformer_20250305_071938,Transformer,5.319214112308604,4.216297626495361,28.294038772583008,0.9866734147071838,6.484028487541221,5.191265106201172,42.042625427246094,0.9804906845092773,23.959778460718677,20.133464813232422,574.0709838867188,-1.0921821594238281,2387.115340948105,0.001,32,2,0.2,20,250,0
Transformer_20250305_074625,Transformer,6.66623594164193,5.1715521812438965,44.43870162963867,0.9790692329406738,6.800863143892334,5.330420017242432,46.251739501953125,0.9785374999046326,18.92555187232,15.786622047424316,358.176513671875,-0.30536210536956787,1603.026778936386,0.001,32,2,0.2,20,250,0
Transformer_20250305_080829,Transformer,6.226492351294782,4.870183944702148,38.76920700073242,0.9817395806312561,7.803964331251602,6.326560020446777,60.901859283447266,0.9717393517494202,31.10199031042115,28.30191421508789,967.3338012695312,-2.5254149436950684,1320.4568791389465,0.001,32,2,0.2,20,250,0
Transformer_20250305_090241,Transformer,5.020329345902817,3.9344589710235596,25.203706741333008,0.9881289601325989,6.058387541320717,4.715422630310059,36.70405960083008,0.9829679727554321,28.544160593787062,23.77881622314453,814.7691040039062,-1.969398021697998,3249.0334751605988,0.001,32,2,0.2,20,250,0
LSTM_20250305_101517,LSTM,91.39809792707669,71.64494323730469,8353.6123046875,0.43393003940582275,110.28631063055832,82.15678405761719,12163.0703125,0.23878663778305054,92.71868153856589,70.9134750366211,8596.75390625,0.07790637016296387,15.716933250427246,0.001,32,2,0.1,20,100,0
LSTM_20250305_101611,LSTM,99.66111033930186,77.72183227539062,9932.3369140625,0.32767146825790405,115.00811367437299,86.39503479003906,13226.8662109375,0.22089499235153198,87.93890479510476,68.5041275024414,7733.2509765625,0.17052626609802246,8.027567625045776,0.001,32,2,0.1,20,50,0
LSTM_20250305_101722,LSTM,99.51670812136271,77.7882308959961,9903.5751953125,0.3296183943748474,115.60111239732946,86.6485366821289,13363.6171875,0.21283984184265137,93.94259384060034,73.39278411865234,8825.2109375,0.0534018874168396,9.042251110076904,0.001,32,2,0.1,20,50,0
LSTM_20250305_101806,LSTM,99.34972162769255,77.56095123291016,9870.3671875,0.3318662643432617,114.37462004718311,85.89202880859375,13081.5537109375,0.22945433855056763,91.49715031423109,69.82840728759766,8371.728515625,0.10204273462295532,9.116832733154297,0.001,32,2,0.1,20,50,0
LSTM_20250305_101906,LSTM,99.2557509747546,77.55462646484375,9851.7041015625,0.3331295847892761,114.20308972670135,86.16026306152344,13042.345703125,0.2317638397216797,90.04649677822702,68.93296813964844,8108.37158203125,0.13029056787490845,6.892488479614258,0.001,32,2,0.1,20,50,0
LSTM_20250305_101940,LSTM,99.57476482052317,77.63796997070312,9915.1337890625,0.3288359045982361,114.69427772888235,86.1963882446289,13154.77734375,0.2251412272453308,89.05466248409597,68.34176635742188,7930.73291015625,0.14934420585632324,7.324261665344238,0.001,32,2,0.1,20,50,0
LSTM_20250305_102050,LSTM,99.87221816369906,77.94143676757812,9974.4599609375,0.3248201012611389,115.43978408676968,86.59378051757812,13326.34375,0.21503543853759766,88.2763549527845,68.7352523803711,7792.71484375,0.16414815187454224,6.304445743560791,0.001,32,2,0.1,20,50,0
Transformer_20250305_102216,Transformer,4.545559302770123,3.5659518241882324,20.662109375,0.9902681112289429,4.745797757938377,3.6949594020843506,22.52259635925293,0.9895486831665039,23.362480197038824,19.168989181518555,545.8054809570312,-0.9891694784164429,4771.0677754879,0.001,32,2,0.2,20,250,0
LSTM_20250305_102750,LSTM,108.51303205145454,86.33341979980469,11775.078125,0.20293468236923218,116.54415489016384,87.69120025634766,13582.5400390625,0.1999446153640747,92.57216884848545,73.32767486572266,8569.6064453125,0.08081817626953125,2.6299965381622314,0.001,32,2,0.1,20,50,0
LSTM_20250305_102831,LSTM,108.60036850334579,86.33245849609375,11794.0400390625,0.20165115594863892,116.87135689509213,88.10664367675781,13658.9140625,0.1954459547996521,97.78847548407737,78.87757873535156,9562.5859375,-0.025689363479614258,3.7384493350982666,0.001,32,2,0.3,20,50,0
LSTM_20250305_103550,LSTM,107.94841523414088,85.70880889892578,11652.8603515625,0.22873812913894653,109.31782880807916,84.59358978271484,11950.3876953125,0.11952781677246094,92.41131200203523,73.41986846923828,8539.8505859375,0.08465194702148438,14.149767398834229,0.001,32,2,0.1,70,50,0
LSTM_20250305_103709,LSTM,100.34967185110771,78.42019653320312,10070.056640625,0.32118308544158936,106.20532148861469,81.63838958740234,11279.5703125,0.3375239968299866,93.91358124460753,71.11048889160156,8819.7607421875,0.04610097408294678,40.16750478744507,0.001,32,2,0.1,100,50,0
LSTM_20250305_110323,LSTM,96.86354771016804,75.39198303222656,9382.546875,0.36752772331237793,107.80682503180168,81.37413787841797,11622.3115234375,0.317393958568573,90.30281089894157,68.34945678710938,8154.59765625,0.1180415153503418,68.69042706489563,0.001,32,2,0.1,100,250,0
LSTM_20250305_111351,LSTM,87.82693108733078,69.08607482910156,7713.56982421875,0.4800325632095337,106.70974980349733,80.44884490966797,11386.970703125,0.33121609687805176,110.40022184930156,83.4810791015625,12188.208984375,-0.31821274757385254,89.63718581199646,0.001,32,2,0.1,100,250,0
LSTM_20250305_111625,LSTM,93.22519777399242,72.48676300048828,8690.9375,0.41414874792099,110.07859408168329,84.54399108886719,12117.296875,0.2883222699165344,97.93658263769468,72.59134674072266,9591.57421875,-0.03737437725067139,85.07351636886597,0.001,32,2,0.1,100,250,0
LSTM_20250305_112021,LSTM,18.38151009384371,14.178321838378906,337.8799133300781,0.9386729001998901,18.952780422465395,15.625143051147461,359.2078857421875,0.9421131610870361,24.09846389117079,19.241687774658203,580.7359619140625,0.8132539987564087,161.0262098312378,0.001,32,2,0.1,100,250,0
LSTM_20250305_112603,LSTM,22.049993412077388,17.307043075561523,486.20220947265625,0.9191392064094543,25.39502606088075,19.917402267456055,644.9073486328125,0.9060628414154053,26.312087103351853,20.570098876953125,692.325927734375,0.8032758831977844,86.47415065765381,0.001,32,2,0.1,100,250,0
LSTM_20250305_112722,LSTM,22.524213858888338,17.38676643371582,507.3402099609375,0.9156237244606018,25.364261553614295,20.23189926147461,643.3457641601562,0.9062902927398682,24.72201528093495,18.872285842895508,611.1780395507812,0.8263339996337891,76.60267496109009,0.001,32,2,0.1,100,250,0
LSTM_20250305_112845,LSTM,23.25192679348047,17.919307708740234,540.652099609375,0.9100835919380188,24.987688618988578,20.46061897277832,624.3845825195312,0.9090521931648254,29.984964290392174,24.146089553833008,899.0980834960938,0.7445216178894043,79.91508936882019,0.001,32,2,0.1,100,250,0
LSTM_20250305_112954,LSTM,23.511356288222053,18.159744262695312,552.7838745117188,0.9080659747123718,25.32093199643269,20.646484375,641.1495971679688,0.9066101908683777,24.27068272708995,18.348527908325195,589.0660400390625,0.8326171636581421,66.2243025302887,0.001,32,2,0.1,100,250,0
