,Model Name,Train RMSE,Train MAE,Train MSE,Train R^2,Validation RMSE,Validation MAE,Validation MSE,Validation R^2,Test RMSE,Test MAE,Test MSE,Test R^2,Training Time (s),Learning Rate,Hidden Dim,Num Layers,Dropout,Window Size,Patience,Delta
GRU_20250302_100454,GRU,35.277871226055964,26.889406204223633,1244.5281982421875,0.8667383790016174,39.940819257605995,29.39399528503418,1595.26904296875,0.8082915544509888,40.41514004580307,30.116024017333984,1633.383544921875,0.7797647714614868,25.021066188812256,0.001,32,2,0.2,20,250,0
GRU_20250302_100816,GRU,27.566638454190645,20.918590545654297,759.9195556640625,0.9073948860168457,30.53390769362757,22.579313278198242,932.3195190429688,0.8718648552894592,29.859578385950442,22.22605323791504,891.5944213867188,0.8585175275802612,28.121061086654663,0.001,32,2,0.2,20,250,0
GRU_20250302_100937,GRU,28.61274236907232,21.661937713623047,818.6890258789062,0.9002331495285034,29.321478210906356,22.020536422729492,859.7490844726562,0.8818387389183044,30.76267682039796,22.59012794494629,946.34228515625,0.849829912185669,35.830660820007324,0.001,32,2,0.2,20,250,0
LSTM_20250302_173610,LSTM,26.867460106933372,20.192201614379883,721.8604125976562,0.9120328426361084,30.038655109396124,22.1154727935791,902.32080078125,0.8759877681732178,30.608523549285866,22.872451782226562,936.8817138671875,0.8513311147689819,20.567442655563354,0.001,32,2,0.2,20,250,0
LSTM_ekan_20250302_173730,LSTM_ekan,27.50233144413908,20.918758392333984,756.3782348632812,0.9078264236450195,29.268884545521416,21.581607818603516,856.6676025390625,0.8822622299194336,31.580723583394686,23.255924224853516,997.3421020507812,0.8417369723320007,18.56299328804016,0.001,32,2,0.2,20,250,0
Informer_20250302_173834,Informer,37.18524973496295,28.898101806640625,1382.7427978515625,0.8314965963363647,35.57551902236899,28.2510986328125,1265.6175537109375,0.8260574340820312,38.52642945565502,30.359241485595703,1484.2857666015625,0.7644664645195007,21.45453429222107,0.001,32,2,0.2,20,250,0
Informer_20250302_173930,Informer,36.697242703918675,28.69957160949707,1346.6876220703125,0.8358903527259827,35.54397481300892,28.211946487426758,1263.3741455078125,0.8263657093048096,37.74293866334884,29.248674392700195,1424.5294189453125,0.7739488482475281,25.61630415916443,0.001,32,2,0.2,20,250,0
GRU_ekan_20250302_174028,GRU_ekan,27.203924860799614,20.505565643310547,740.0535278320312,0.909815788269043,29.816467405036853,22.304548263549805,889.021728515625,0.8778156042098999,33.2407342147073,24.178586959838867,1104.9464111328125,0.8246618509292603,31.979443788528442,0.001,32,2,0.2,20,250,0
TCN_20250302_174458,TCN,24.97469177972348,19.172487258911133,623.7352294921875,0.9239905476570129,29.734402711166805,22.549331665039062,884.1347045898438,0.878487229347229,34.78732117947213,25.759429931640625,1210.15771484375,0.8079663515090942,12.918598413467407,0.001,32,2,0.2,20,250,0
TCN_ekan_20250302_174611,TCN_ekan,24.592739913342566,18.860742568969727,604.8028564453125,0.926297664642334,29.634432421778175,22.403560638427734,878.1995849609375,0.8793029189109802,33.091931459713486,24.355731964111328,1095.075927734375,0.826228141784668,23.770823001861572,0.001,32,2,0.2,20,250,0
BiLSTM_20250302_174830,BiLSTM,27.87592399673731,21.292766571044922,777.067138671875,0.9053052663803101,29.896364369920676,21.937253952026367,893.7926025390625,0.8771598935127258,37.65094458217068,29.09874153137207,1417.5936279296875,0.7750494480133057,30.211442708969116,0.001,32,2,0.2,20,250,0
BiLSTM_ekan_20250302_174956,BiLSTM_ekan,27.838297814257835,21.118671417236328,774.9708251953125,0.9055607318878174,29.75621160205462,22.03508186340332,885.43212890625,0.878308892250061,41.782776535781615,31.291141510009766,1745.8004150390625,0.7229680418968201,55.123141050338745,0.001,32,2,0.2,20,250,0
VanillaLSTM_20250302_175049,VanillaLSTM,27.96850558552423,21.273210525512695,782.2373046875,0.9046752452850342,29.46676470479867,21.97219467163086,868.2902221679688,0.8806648254394531,31.79653524081378,23.53390884399414,1011.0196533203125,0.8395665884017944,17.446924209594727,0.001,32,2,0.2,20,250,0
GRUwGNN_20250302_175333,GRUwGNN,27.98954686819204,21.228347778320312,783.4147338867188,0.904531717300415,29.463365469429256,22.01436996459961,868.0899047851562,0.8806923627853394,34.586501329546905,25.154695510864258,1196.22607421875,0.8101771473884583,31.654560565948486,0.001,32,2,0.2,20,250,0
GRU_ekanwGNN_20250302_175540,GRU_ekanwGNN,27.66520864788932,20.998117446899414,765.36376953125,0.9067314863204956,29.058342486563237,21.587007522583008,844.3872680664062,0.8839499950408936,32.87444116385764,23.864789962768555,1080.7288818359375,0.8285048007965088,38.8166880607605,0.001,32,2,0.2,20,250,0
Transformer_20250302_180415,Transformer,36.991521740313175,28.966466903686523,1368.3726806640625,0.8332477807998657,37.11348825888221,30.436420440673828,1377.4110107421875,0.8106928467750549,39.63149961481082,29.794092178344727,1570.65576171875,0.7507608532905579,422.8384885787964,0.001,32,2,0.2,20,250,0
Transformer_ekan_20250302_181722,Transformer_ekan,31.507541298733646,24.477916717529297,992.7251586914062,0.8790248036384583,35.817426785343436,28.550586700439453,1282.8880615234375,0.8236837983131409,76.41265310593201,61.15674591064453,5838.8935546875,0.07345646619796753,707.255420923233,0.001,32,2,0.2,20,250,0
ConvGRU_20250302_183628,ConvGRU,28.371363469821446,21.47638702392578,804.9342651367188,0.901909351348877,30.011637147243608,22.769399642944336,900.6983642578125,0.8762108087539673,36.21546037692328,27.716062545776367,1311.5595703125,0.7918754816055298,7.896594524383545,0.001,32,2,0.2,20,250,0
LSTM_20250302_213755,LSTM,26.791279253573705,20.237335205078125,717.7726440429688,0.9125310182571411,29.901403530695156,22.410303115844727,894.0939331054688,0.8771184682846069,30.242346938355226,22.558855056762695,914.5995483398438,0.8548669815063477,18.243356466293335,0.001,32,2,0.2,20,250,0
LSTM_ekan_20250302_221040,LSTM_ekan,23.894510495842713,18.544174194335938,570.9476318359375,0.9304233193397522,31.579510808904047,23.162445068359375,997.2655029296875,0.8629388809204102,32.43028693585963,24.3384952545166,1051.7235107421875,0.8331074714660645,23.048846006393433,0.001,32,2,0.2,20,250,0
Informer_20250302_221115,Informer,38.71569487038654,30.081165313720703,1498.905029296875,0.8173408508300781,35.60284055885675,28.0790958404541,1267.562255859375,0.8257901072502136,36.719893599212675,28.7236385345459,1348.3505859375,0.7860373258590698,5.629722356796265,0.001,32,2,0.2,20,250,0
